"상권별(1)","상권별(2)",상권별(3),항목,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4,2026.1/4
"전국","소계",소계,임대수입 (%),99.4,99.4,99.5,99.5,99.5,99.5,99.5
"전국","소계",소계,기타수입 (%),0.6,0.6,0.5,0.5,0.5,0.5,0.5
"전국","소계",소계,운영경비 (%),38.5,12.8,13.2,13.5,42.7,14.0,14.3
"전국","소계",소계,순영업소득 (%),61.5,87.2,86.8,86.5,57.3,86.0,85.7
"전국","소계",소계,순영업소득 (천원/㎡),30.0,42.6,42.0,41.6,27.1,41.1,41.0
"서울","소계",소계,임대수입 (%),99.1,99.1,99.1,99.1,99.1,99.1,99.1
"서울","소계",소계,기타수입 (%),0.9,0.9,0.9,0.9,0.9,0.9,0.9
"서울","소계",소계,운영경비 (%),47.3,11.8,11.9,12.0,52.4,12.4,12.8
"서울","소계",소계,순영업소득 (%),52.7,88.2,88.1,88.0,47.6,87.6,87.2
"서울","소계",소계,순영업소득 (천원/㎡),58.8,99.7,99.2,99.2,52.4,98.4,98.2
"서울","소계(도심지역)",소계,임대수입 (%),99.5,99.5,99.5,99.5,99.5,99.5,99.5
"서울","소계(도심지역)",소계,기타수입 (%),0.5,0.5,0.5,0.5,0.5,0.5,0.5
"서울","소계(도심지역)",소계,운영경비 (%),45.0,12.2,12.2,11.9,47.4,11.8,12.3
"서울","소계(도심지역)",소계,순영업소득 (%),55.0,87.8,87.8,88.1,52.6,88.2,87.7
"서울","소계(도심지역)",소계,순영업소득 (천원/㎡),86.3,139.7,139.6,143.9,84.1,142.8,144.3
"서울","소계(도심지역)",광화문,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(도심지역)",광화문,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(도심지역)",광화문,운영경비 (%),36.1,4.9,6.4,6.4,44.3,6.4,6.3
"서울","소계(도심지역)",광화문,순영업소득 (%),63.9,95.1,93.6,93.6,55.7,93.6,93.7
"서울","소계(도심지역)",광화문,순영업소득 (천원/㎡),143.0,213.8,210.9,209.8,123.8,209.9,213.0
"서울","소계(도심지역)",남대문,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(도심지역)",남대문,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(도심지역)",남대문,운영경비 (%),41.3,15.3,15.7,13.6,40.6,13.8,13.6
"서울","소계(도심지역)",남대문,순영업소득 (%),58.7,84.7,84.3,86.4,59.4,86.2,86.4
"서울","소계(도심지역)",남대문,순영업소득 (천원/㎡),78.5,108.7,105.6,130.0,87.2,127.5,128.3
"서울","소계(도심지역)",동대문,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(도심지역)",동대문,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(도심지역)",동대문,운영경비 (%),47.7,14.4,13.7,12.8,49.4,13.3,13.2
"서울","소계(도심지역)",동대문,순영업소득 (%),52.3,85.6,86.3,87.2,50.6,86.7,86.8
"서울","소계(도심지역)",동대문,순영업소득 (천원/㎡),56.7,93.6,100.5,98.7,53.7,95.8,96.0
"서울","소계(도심지역)",명동,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(도심지역)",명동,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(도심지역)",명동,운영경비 (%),63.3,28.6,28.0,28.1,64.4,25.2,27.0
"서울","소계(도심지역)",명동,순영업소득 (%),36.7,71.4,72.0,71.9,35.6,74.8,73.0
"서울","소계(도심지역)",명동,순영업소득 (천원/㎡),95.1,187.5,193.5,192.8,94.0,199.4,197.8
"서울","소계(도심지역)",방산시장,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(도심지역)",방산시장,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(도심지역)",방산시장,운영경비 (%),29.8,7.4,8.1,8.1,33.9,8.1,8.0
"서울","소계(도심지역)",방산시장,순영업소득 (%),70.2,92.6,91.9,91.9,66.1,91.9,92.0
"서울","소계(도심지역)",방산시장,순영업소득 (천원/㎡),95.6,126.9,114.8,114.3,81.6,114.3,122.4
"서울","소계(도심지역)",북촌,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(도심지역)",북촌,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(도심지역)",북촌,운영경비 (%),38.9,10.5,11.5,10.2,34.6,13.3,10.5
"서울","소계(도심지역)",북촌,순영업소득 (%),61.1,89.5,88.5,89.8,65.4,86.7,89.5
