"자치구별(1)",자치구별(2),2023. 01,2023. 01,2023. 02,2023. 02,2023. 03,2023. 03,2023. 04,2023. 04,2023. 05,2023. 05,2023. 06,2023. 06,2023. 07,2023. 07,2023. 08,2023. 08,2023. 09,2023. 09,2023. 10,2023. 10,2023. 11,2023. 11,2023. 12,2023. 12,2024. 01,2024. 01,2024. 02,2024. 02,2024. 03,2024. 03,2024. 04,2024. 04,2024. 05,2024. 05,2024. 06,2024. 06,2024. 07,2024. 07,2024. 08,2024. 08,2024. 09,2024. 09,2024. 10,2024. 10,2024. 11,2024. 11,2024. 12,2024. 12,2025. 01,2025. 01,2025. 02,2025. 02,2025. 03,2025. 03,2025. 04,2025. 04,2025. 05,2025. 05,2025. 06,2025. 06,2025. 07,2025. 07,2025. 08,2025. 08,2025. 09,2025. 09,2025. 10,2025. 10,2025. 11,2025. 11,2025. 12,2025. 12
"자치구별(1)",자치구별(2),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡),동(호)수 (호수),면적 (천㎡)
"합계",소계,1161,75,2286,159,3234,225,2981,220,3711,274,4136,303,3804,283,4091,299,3845,294,2983,223,2417,178,1790,133,2456,181,2665,198,3482,258,4840,364,5182,395,6150,462,9518,726,7609,591,4951,385,4000,305,3773,288,3656,265,3233,241,4743,353,9349,722,8029,618,7221,530,10814,812,8485,666,4154,292,6796,498,11041,849,4395,343,4871,355
"합계",종로구,7,-,17,1,31,2,22,2,34,3,32,3,32,2,36,3,46,4,37,3,32,2,20,1,24,2,22,2,37,3,42,3,60,4,55,4,82,6,46,3,38,3,39,4,48,4,27,2,23,2,44,3,68,5,80,6,45,4,88,7,70,6,45,3,53,4,105,8,45,3,40,3
"합계",중구,14,1,32,3,31,3,41,3,62,4,64,4,65,5,63,5,66,5,43,3,61,4,33,3,42,3,47,3,57,4,69,5,84,6,70,5,150,12,104,8,65,5,65,5,54,4,67,5,69,5,96,7,151,12,139,11,104,8,180,14,126,10,56,4,100,8,192,16,69,5,78,5
"합계",용산구,11,1,28,3,30,3,46,4,52,5,60,6,66,6,59,6,64,7,69,7,64,7,39,4,35,3,51,5,60,6,96,10,84,8,134,13,162,15,176,17,87,9,92,9,73,8,78,7,68,6,88,8,247,24,175,17,83,8,115,11,187,18,155,10,132,9,122,11,139,12,101,8
"합계",성동구,31,2,79,6,120,9,109,8,165,12,168,13,189,14,202,15,182,15,133,11,105,9,76,6,110,8,114,9,188,14,253,19,260,20,389,29,463,35,386,31,233,19,150,11,149,12,174,14,161,12,280,21,579,44,459,36,407,32,808,66,423,36,137,10,424,33,612,50,134,10,189,9
"합계",광진구,27,2,45,3,50,4,53,5,66,5,84,7,64,5,66,5,89,7,61,5,48,5,39,3,67,6,68,6,75,6,112,9,88,7,234,13,247,20,174,15,111,8,83,7,80,7,77,6,93,7,104,8,244,20,210,17,186,16,321,27,219,18,70,5,199,15,331,27,122,8,79,6
"합계",동대문구,58,4,105,6,128,9,147,10,151,11,196,15,169,12,146,11,159,11,107,7,112,6,69,5,106,6,109,7,150,11,212,15,238,17,232,17,403,30,305,22,198,14,152,10,201,11,162,10,155,10,211,15,373,28,396,23,432,27,557,34,362,27,183,13,366,26,706,55,179,13,270,17
"합계",중랑구,26,2,61,4,66,4,71,5,99,6,143,8,107,6,75,5,87,6,93,7,75,4,52,3,74,5,68,4,110,7,145,9,148,11,156,11,220,16,204,15,143,10,142,9,93,6,84,6,78,6,116,8,173,12,167,11,156,11,273,19,205,14,314,14,263,14,288,21,111,8,156,11
"합계",성북구,134,7,153,10,157,11,161,11,217,15,179,13,192,14,203,15,192,14,168,13,127,9,130,10,139,10,156,12,177,13,256,19,280,21,297,22,535,40,403,30,263,20,226,17,180,14,146,10,142,10,247,18,389,29,336,25,419,30,569,42,418,33,300,18,419,31,667,49,198,15,329,26
